Sl. No,State,District,block,Condition 2024
345,Uttar Pradesh,Gonda,Katra Bazar,Safe
346,Uttar Pradesh,Gonda,Mankapur,Safe
347,Uttar Pradesh,Gonda,Mujhana,Safe
348,Uttar Pradesh,Gonda,Nawabganj,Safe
349,Uttar Pradesh,Gonda,Pandri Kripal,Safe
350,Uttar Pradesh,Gonda,Paraspur,Safe
351,Uttar Pradesh,Gonda,Rupaidiha,Safe
352,Uttar Pradesh,Gonda,Tarabganj,Safe
353,Uttar Pradesh,Gonda,Wazirganj,Safe
354,Uttar Pradesh,Gorakhpur,Bansgaon,Safe
355,Uttar Pradesh,Gorakhpur,Barahalganj,Safe
356,Uttar Pradesh,Gorakhpur,Belghat,Safe
357,Uttar Pradesh,Gorakhpur,Bhatahat,Safe
358,Uttar Pradesh,Gorakhpur,Brahmpur,Safe
359,Uttar Pradesh,Gorakhpur,Campierganj,Safe
360,Uttar Pradesh,Gorakhpur,Chirgawan,Safe
361,Uttar Pradesh,Gorakhpur,Gagaha,Safe
362,Uttar Pradesh,Gorakhpur,Gola,Safe
363,Uttar Pradesh,Gorakhpur,Jangal Kaudia,Safe
364,Uttar Pradesh,Gorakhpur,Kauriram,Safe
365,Uttar Pradesh,Gorakhpur,Khajni,Safe
366,Uttar Pradesh,Gorakhpur,Khorabar,Safe
367,Uttar Pradesh,Gorakhpur,Pali,Safe
368,Uttar Pradesh,Gorakhpur,Pipraich,Safe
369,Uttar Pradesh,Gorakhpur,Piprauli,Safe
370,Uttar Pradesh,Gorakhpur,Sahjanwa,Safe
371,Uttar Pradesh,Gorakhpur,Sardar Nagar,Safe
372,Uttar Pradesh,Gorakhpur,Urua,Safe
373,Uttar Pradesh,Gorakhpur,Bharohiya,Safe
374,Uttar Pradesh,Hamirpur,Gohand,Semi_Critical
375,Uttar Pradesh,Hamirpur,Kurara,Safe
376,Uttar Pradesh,Hamirpur,Maudaha,Safe
377,Uttar Pradesh,Hamirpur,Muskara,Safe
378,Uttar Pradesh,Hamirpur,Rath,Safe
379,Uttar Pradesh,Hamirpur,Sarila,Safe
380,Uttar Pradesh,Hamirpur,Sumerpur,Semi_Critical
381,Uttar Pradesh,Hapur,Dholana,Semi_Critical
382,Uttar Pradesh,Hapur,Garh,Critical
383,Uttar Pradesh,Hapur,Hapur,Critical
384,Uttar Pradesh,Hapur,Simbholi,Critical
385,Uttar Pradesh,Hardoi,Ahirori,Safe
386,Uttar Pradesh,Hardoi,Bawan,Safe
387,Uttar Pradesh,Hardoi,Bharawan,Safe
388,Uttar Pradesh,Hardoi,Bharkhani,Safe
389,Uttar Pradesh,Hardoi,Bhender Kalan,Safe
390,Uttar Pradesh,Hardoi,Bilgram,Safe
391,Uttar Pradesh,Hardoi,Hariyawan,Safe
392,Uttar Pradesh,Hardoi,Harpalpur,Safe
393,Uttar Pradesh,Hardoi,Kachhauna,Safe
394,Uttar Pradesh,Hardoi,Kothawan,Safe
395,Uttar Pradesh,Hardoi,Madhavganj,Safe
396,Uttar Pradesh,Hardoi,Mallawan,Safe
397,Uttar Pradesh,Hardoi,Pihani,Safe
398,Uttar Pradesh,Hardoi,Sandi,Safe
399,Uttar Pradesh,Hardoi,Sandila,Safe
400,Uttar Pradesh,Hardoi,Shahabad,Safe
401,Uttar Pradesh,Hardoi,Sursa,Safe
402,Uttar Pradesh,Hardoi,Tadiyawan,Safe
403,Uttar Pradesh,Hardoi,Todarpur,Safe
404,Uttar Pradesh,Hathras,Hasayan,Safe
405,Uttar Pradesh,Hathras,Hathras,Critical
406,Uttar Pradesh,Hathras,Mursan,Over_Exploited
407,Uttar Pradesh,Hathras,Sadabad,Semi_Critical
408,Uttar Pradesh,Hathras,Sahpau,Over_Exploited
409,Uttar Pradesh,Hathras,Sasni,Over_Exploited
410,Uttar Pradesh,Hathras,Sikandra Rao,Semi_Critical
411,Uttar Pradesh,Jalaun,Dakor,Safe
412,Uttar Pradesh,Jalaun,Jalaun,Safe
413,Uttar Pradesh,Jalaun,Kadaura,Safe
414,Uttar Pradesh,Jalaun,Konch,Safe
415,Uttar Pradesh,Jalaun,Kuthond,Safe
416,Uttar Pradesh,Jalaun,Madhoganj,Safe
417,Uttar Pradesh,Jalaun,Mahewa,Safe
418,Uttar Pradesh,Jalaun,Nadigaon,Safe
419,Uttar Pradesh,Jalaun,Rampura,Safe
420,Uttar Pradesh,Jaunpur,Badlapur,Semi_Critical
421,Uttar Pradesh,Jaunpur,Baksha,Safe
422,Uttar Pradesh,Jaunpur,Barsathi,Safe
423,Uttar Pradesh,Jaunpur,Dharmapur,Semi_Critical
424,Uttar Pradesh,Jaunpur,Dobhi,Safe
425,Uttar Pradesh,Jaunpur,Jalalpur,Safe
426,Uttar Pradesh,Jaunpur,Karanja Kalan,Semi_Critical
427,Uttar Pradesh,Jaunpur,Kerakat,Semi_Critical
428,Uttar Pradesh,Jaunpur,Khutahan,Safe
429,Uttar Pradesh,Jaunpur,Machhlishahr,Safe
430,Uttar Pradesh,Jaunpur,Maharajganj,Semi_Critical
431,Uttar Pradesh,Jaunpur,Mariahu,Safe
432,Uttar Pradesh,Jaunpur,Muftiganj,Semi_Critical
433,Uttar Pradesh,Jaunpur,Mungra Badshahpur,Safe
434,Uttar Pradesh,Jaunpur,Ramnagar,Safe
435,Uttar Pradesh,Jaunpur,Rampur,Safe
436,Uttar Pradesh,Jaunpur,Shahganj,Safe
437,Uttar Pradesh,Jaunpur,Sikrara,Semi_Critical
438,Uttar Pradesh,Jaunpur,Sirkoni,Semi_Critical
439,Uttar Pradesh,Jaunpur,Suitha Kalan,Safe
440,Uttar Pradesh,Jaunpur,Sujanganj,Safe
441,Uttar Pradesh,Jhansi,Babina,Semi_Critical
442,Uttar Pradesh,Jhansi,Bamaur,Safe
443,Uttar Pradesh,Jhansi,Bangra,Semi_Critical
444,Uttar Pradesh,Jhansi,Baragaon,Semi_Critical
445,Uttar Pradesh,Jhansi,Chirgaon,Safe
446,Uttar Pradesh,Jhansi,Gursarai,Safe
447,Uttar Pradesh,Jhansi,Mauranipur,Semi_Critical
448,Uttar Pradesh,Jhansi,Moth,Safe
449,Uttar Pradesh,Kannauj,Chhibramau,Semi_Critical
450,Uttar Pradesh,Kannauj,Gograpur,Semi_Critical
451,Uttar Pradesh,Kannauj,Haseran,Safe
452,Uttar Pradesh,Kannauj,Jalalabad,Over_Exploited
453,Uttar Pradesh,Kannauj,Kannauj,Critical
454,Uttar Pradesh,Kannauj,Saurikh,Safe
455,Uttar Pradesh,Kannauj,Talgram,Over_Exploited
456,Uttar Pradesh,Kannauj,Umarda,Safe
457,Uttar Pradesh,Kanpur Dehat,Akbarpur,Semi_Critical
458,Uttar Pradesh,Kanpur Dehat,Amraudha,Safe
459,Uttar Pradesh,Kanpur Dehat,Derapur,Semi_Critical
460,Uttar Pradesh,Kanpur Dehat,Jhinjhak,Safe
461,Uttar Pradesh,Kanpur Dehat,Maitha,Safe
462,Uttar Pradesh,Kanpur Dehat,Malsa,Semi_Critical
463,Uttar Pradesh,Kanpur Dehat,Rajpur,Safe
464,Uttar Pradesh,Kanpur Dehat,Rasulabad,Safe
465,Uttar Pradesh,Kanpur Dehat,Sandalpur,Safe
